domain,organization
"performance.greensboro-nc.gov","City of Greensboro"
"performance.princegeorgescountymd.gov","Prince George's County"
"performance.providenceri.gov","City of Providence"
"performance.sandiegocounty.gov","San Diego County"
"performance.seattle.gov","City of Seattle"
"performance.smcgov.org","County of San Mateo"
"performance.topeka.org","City of Topeka"
"performance.vbgov.com","City of Virginia Beach"
"performance.williamsburgva.gov","City of Williamsburg"
"perspectives.dnrec.delaware.gov","State of Delaware"
"pip.nashville.gov","Nashville City and Davidson County"
"policeview.johnscreekga.gov","City of Johns Creek"
"reportcard.santamonicayouth.net",""
"reports.awcnet.org","Association of Washington Cities"
"reports.data.imls.gov","Institute of Museum and Library Services (IMLS)"
"results.livewellsd.org","County of San Diego"
"ship.dfs.ny.gov","State of New York"
"stat.cityofgainesville.org","City of Gainesville"
"stat.montgomerycountymd.gov","Montgomery County"
"stat.stpete.org","City of St. Petersburg"
"stats.cityofcarrollton.com","City of Carrollton"
"strategicplanning1.aspe.hhs.gov","U.S. Department of Health and Human Services"
"sustainability.metroairports.org","Metropolitan Airports Commission"
"tni.princegeorgescountymd.gov","Prince George's County"
"transparencyarchive.michigan.gov","State of Michigan"
"uspto.data.commerce.gov","U.S. Patent and Trademark Office"
"www.dallasopendata.com","City of Dallas"
"www.data.act.gov.au","ACT Government Australia"
"www.datos.gov.co","Datos Abiertos Colombia"
"www.forsythfutures.org","Forsyth Futures"
"www.mdchildhungerpartnership.org","The Partnership to End Childhood Hunger in Maryland"
"www.metrochicagodata.org","Metro Chicago Data"
"www.opendatanyc.com","New York City"
"www.pivcide.pr","Puerto Rico"
"www.sudandata.org","Sudan"
"www.thedatazone.ca","datazONE Canada"
    
    



